gornje baredine - baredine di sopra|7a|baredine - baredine
ulica sant' isepo - via sant' isepo|15|galižana
ulica sigari - via sigari|7|galižana
ulica michele della vedova - via michele della vedova|25|galižana
ulica toro - via toro|23|galižana
ulica sant' isepo - via sant' isepo|13|galižana
ulica toro - via toro|42|galižana
ulica antonio pianella - via antonio pianella|5|galižana
ulica michele della vedova - via michele della vedova|50|galižana
ulica michele della vedova - via michele della vedova|120|galižana
ulica michele della vedova - via michele della vedova|106|galižana
ulica giuseppe leonardelli - via giuseppe leonardelli|10|galižana
ulica oltra 'l torcio - via oltra 'l torcio|7|galižana
ulica monteci - via monteci|27|galižana
ulica sant' isepo - via sant' isepo|26|galižana
ulica oltra 'l torcio - via oltra 'l torcio|6|galižana
fažanska ulica - via fasana|20|galižana
ulica lumel - via lumel|36|galižana
ulica michele della vedova - via michele della vedova|27|galižana
ulica michele della vedova - via michele della vedova|46|galižana
ulica sigari - via sigari|16|galižana
veliki trg - piazza grande|2|galižana
ulica sant' isepo - via sant' isepo|23|galižana
ulica sant' isepo - via sant' isepo|25|galižana
ulica sigari - via sigari|24|galižana
ulica san zoane - via san zoane|7|galižana
ulica giuseppe leonardelli - via giuseppe leonardelli|4|galižana
ulica michele della vedova - via michele della vedova|22|galižana
ulica michele della vedova - via michele della vedova|70|galižana
ulica sant' isepo - via sant' isepo|6|galižana
ulica sant' isepo - via sant' isepo|45|galižana
ulica toro - via toro|27|galižana
ulica michele della vedova - via michele della vedova|72|galižana
ulica michele della vedova - via michele della vedova|104|galižana
ulica monteci - via monteci|25|galižana
fažanska ulica - via fasana|22|galižana
ulica michele della vedova - via michele della vedova|92a|galižana
ulica michele della vedova - via michele della vedova|24|galižana
ulica toro - via toro|8|galižana
ulica san zusto - via san zusto|1|galižana
ulica michele della vedova - via michele della vedova|92|galižana
ulica sant' isepo - via sant' isepo|49|galižana
ulica lumel - via lumel|25|galižana
ulica toro - via toro|17|galižana
ulica sant' isepo - via sant' isepo|47|galižana
ulica sant' isepo - via sant' isepo|37|galižana
ulica sigari - via sigari|3|galižana
ulica antonio pianella - via antonio pianella|18|galižana
ulica michele della vedova - via michele della vedova|34|galižana
ulica toro - via toro|20|galižana
ulica lumel - via lumel|40|galižana
ulica giovanni petris - via giovanni petris|8|galižana
ulica michele della vedova - via michele della vedova|31|galižana
ulica michele della vedova - via michele della vedova|100|galižana
ulica toro - via toro|7|galižana
ulica oltra 'l torcio - via oltra 'l torcio|4|galižana
veliki trg - piazza grande|3|galižana
ulica toro - via toro|1|galižana
ulica lumel - via lumel|19|galižana
ulica monteci - via monteci|29|galižana
ulica lumel - via lumel|31|galižana
ulica sigari - via sigari|5|galižana
ulica sant' isepo - via sant' isepo|67|galižana
ulica san zusto - via san zusto|11|galižana
ulica monteci - via monteci|31|galižana
ulica lumel - via lumel|38|galižana
ulica michele della vedova - via michele della vedova|33|galižana
ulica toro - via toro|36|galižana
ulica lumel - via lumel|1|galižana
ulica michele della vedova - via michele della vedova|19|galižana
ulica michele della vedova - via michele della vedova|94|galižana
ulica san zusto - via san zusto|2|galižana
ulica michele della vedova - via michele della vedova|21|galižana
ulica michele della vedova - via michele della vedova|88|galižana
ulica sigari - via sigari|20|galižana
ulica lumel - via lumel|5|galižana
ulica sv. silvestar - via san silvestro|1|galižana
ulica toro - via toro|10|galižana
ulica sigari - via sigari|26|galižana
ulica sant' isepo - via sant' isepo|21|galižana
fažanska ulica - via fasana|18|galižana
ulica michele della vedova - via michele della vedova|90|galižana
ulica sigari - via sigari|14|galižana
ulica san zusto - via san zusto|13|galižana
ulica sigari - via sigari|18|galižana
ulica michele della vedova - via michele della vedova|41|galižana
ulica sant' isepo - via sant' isepo|17|galižana
ulica toro - via toro|24|galižana
ulica antonio pianella - via antonio pianella|9|galižana
trg stare škole - piazza scuola vecchia|17|fažana
ulica giuseppe leonardelli - via giuseppe leonardelli|12|galižana
ulica san zusto - via san zusto|15|galižana
ulica giovanni petris - via giovanni petris|17|galižana
ulica michele della vedova - via michele della vedova|60|galižana
ulica lumel - via lumel|3|galižana
ulica sant' isepo - via sant' isepo|33|galižana
ulica lumel - via lumel|17|galižana
ulica veli vrh - via monte grande|1|galižana
ulica michele della vedova - via michele della vedova|82|galižana
ulica don valentina cukarića - via don valentin cukarić|1|fažana
ulica sv. silvestar - via san silvestro|8|galižana
ulica viktor car emin - via viktor car emin|2|fažana
ulica michele della vedova - via michele della vedova|29|galižana
ulica michele della vedova - via michele della vedova|48|galižana
ulica giovanni petris - via giovanni petris|25|galižana
ulica antonio pianella - via antonio pianella|14|galižana
ulica michele della vedova - via michele della vedova|114|galižana
ulica michele della vedova - via michele della vedova|74|galižana
puljska cesta - via pola|1|fažana
trg sv. kuzme i damjana - piazza s. cosimo e damiano|19|fažana
galižanska cesta - via gallesano|2|fažana
vodnjanska cesta - via dignano|23|fažana
piazza grande|6|fažana
ulica viktor car emin - via viktor car emin|10|fažana
brionska ulica - via brioni|2|fažana
ulica vladimir nazor - via vladimir nazor|16|fažana
titova riva - riva tito|4|fažana
ulica zorzi ventura - via zorzi ventura|3|fažana
župni trg - largo della parrocchia|4|fažana
galižanska cesta - via gallesano|32|fažana
ulica pineta - via pineta|6|fažana
ulica sv. silvestar - via san silvestro|19|galižana
puljska cesta - via pola|3|fažana
ulica 43. istarske divizije - via 43. divisione istriana|1|fažana
ulica 43. istarske divizije - via 43. divisione istriana|4|fažana
galižanska cesta - via gallesano|28|fažana
ulica michele della vedova - via michele della vedova|43|galižana
ulica sv. silvestar - via san silvestro|16|galižana
put sv. elizeja - strada s. eliseo|8|fažana
ulica veli vrh - via monte grande|3|galižana
ulica sv. silvestar - via san silvestro|15|galižana
ulica pineta - via pineta|8|fažana
ulica sv. silvestar - via san silvestro|13|galižana
ulica žrtava fašizma - via martiri antifascisti|7|fažana
piazza grande|9|fažana
titova riva - riva tito|6|fažana
ulica michele della vedova - via michele della vedova|65|galižana
vodnjanska cesta - via dignano|21|fažana
ulica 43. istarske divizije - via 43. divisione istriana|9|fažana
ulica jurina i franina - via jurina i franina|3|fažana
ulica jurina i franina - via jurina i franina|1|fažana
ulica zorzi ventura - via zorzi ventura|8|fažana
omladinska ulica - via della gioventu'|2|fažana
župni trg - largo della parrocchia|5|fažana
ulica viktor car emin - via viktor car emin|16|fažana
galižanska cesta - via gallesano|31|fažana
ulica zorzi ventura - via zorzi ventura|10|fažana
titova riva - riva tito|7|fažana
trg sv. kuzme i damjana - piazza s. cosimo e damiano|6|fažana
piazza grande|7|fažana
titova riva - riva tito|5|fažana
ulica sv. silvestar - via san silvestro|20|galižana
ulica zorzi ventura - via zorzi ventura|4|fažana
trg sv. kuzme i damjana - piazza s. cosimo e damiano|17|fažana
piazza grande|5|fažana
trg sv. kuzme i damjana - piazza s. cosimo e damiano|20|fažana
ulica jurina i franina - via jurina i franina|6|fažana
ulica zorzi ventura - via zorzi ventura|16|fažana
ulica viktor car emin - via viktor car emin|14|fažana
ulica sv. silvestar - via san silvestro|17|galižana
ulica viktor car emin - via viktor car emin|5|fažana
ulica 43. istarske divizije - via 43. divisione istriana|2|fažana
ulica jurina i franina - via jurina i franina|2|fažana
ulica zorzi ventura - via zorzi ventura|7|fažana
ulica michele della vedova - via michele della vedova|39|galižana
ulica žrtava fašizma - via martiri antifascisti|6|fažana
trg sv. kuzme i damjana - piazza s. cosimo e damiano|18|fažana
trg sv. kuzme i damjana - piazza s. cosimo e damiano|15|fažana
ulica žrtava fašizma - via martiri antifascisti|4|fažana
puljska cesta - via pola|5|fažana
ulica 43. istarske divizije - via 43. divisione istriana|6|fažana
vodnjanska cesta - via dignano|37|fažana
ulica žrtava fašizma - via martiri antifascisti|2|fažana
ulica viktor car emin - via viktor car emin|18|fažana
trg sv. kuzme i damjana - piazza s. cosimo e damiano|16|fažana
brionska ulica - via brioni|4|fažana
ulica žrtava fašizma - via martiri antifascisti|3|fažana
ulica pino budicin - via pino budicin|12|fažana
ulica pineta - via pineta|4|fažana
piazza grande|10|fažana
ulica zorzi ventura - via zorzi ventura|2|fažana
ulica zorzi ventura - via zorzi ventura|12|fažana
ulica 1. maja - via 1. maggio|2|fažana
ulica don valentina cukarića - via don valentin cukarić|2|fažana
ulica 43. istarske divizije - via 43. divisione istriana|3|fažana
trg stare škole - piazza scuola vecchia|5|fažana
ulica zorzi ventura - via zorzi ventura|1|fažana
ulica žrtava fašizma - via martiri antifascisti|9|fažana
brionska ulica - via brioni|6a|fažana
ulica toro - via toro|3|galižana
vodnjanska cesta - via dignano|1|fažana
ulica san zusto - via san zusto|17a|galižana
ulica toro - via toro|22|galižana
ulica jurina i franina - via jurina i franina|4|fažana
brionska ulica - via brioni|6|fažana
ulica sant' isepo - via sant' isepo|41|galižana
ulica sant' isepo - via sant' isepo|69|galižana
ulica michele della vedova - via michele della vedova|84|galižana
ulica michele della vedova - via michele della vedova|61|galižana
ulica oltra 'l torcio - via oltra 'l torcio|2b|galižana
ulica viktor car emin - via viktor car emin|8|fažana
vodnjanska cesta - via dignano|133c|fažana
vodnjanska cesta - via dignano|133d|fažana
vodnjanska cesta - via dignano|133b|fažana
vodnjanska cesta - via dignano|133e|fažana
galižanska cesta - via gallesano|130|fažana
galižanska cesta - via gallesano|36h|fažana
galižanska cesta - via gallesano|146|fažana
ulica zorzi ventura - via zorzi ventura|6|fažana
put sv. elizeja - strada s. eliseo|10|fažana
titova riva - riva tito|1|fažana
trg stare škole - piazza scuola vecchia|6|fažana
ulica toro - via toro|19|galižana
ulica michele della vedova - via michele della vedova|23|galižana
ulica michele della vedova - via michele della vedova|42|galižana
ulica michele della vedova - via michele della vedova|37|galižana
ulica sv. silvestar - via san silvestro|5|galižana
ulica michele della vedova - via michele della vedova|110|galižana
ulica giovanni petris - via giovanni petris|23|galižana
ulica sant' isepo - via sant' isepo|27|galižana
ulica toro - via toro|30|galižana
ulica toro - via toro|25|galižana
ulica sv. silvestar - via san silvestro|12|galižana
ulica giovanni petris - via giovanni petris|21|galižana
ulica sant' isepo - via sant' isepo|4|galižana
ulica sv. silvestar - via san silvestro|10|galižana
ulica lumel - via lumel|28|galižana
ulica lumel - via lumel|23|galižana
ulica michele della vedova - via michele della vedova|66|galižana
ulica lumel - via lumel|30|galižana
ulica toro - via toro|38|galižana
ulica giovanni petris - via giovanni petris|6|galižana
ulica michele della vedova - via michele della vedova|112|galižana
ulica sv. silvestar - via san silvestro|7|galižana
ulica sv. silvestar - via san silvestro|11|galižana
ulica lumel - via lumel|2|galižana
ulica antonio pianella - via antonio pianella|3|galižana
ulica sigari - via sigari|10|galižana
ulica giovanni petris - via giovanni petris|4|galižana
ulica monteci - via monteci|2|galižana
ulica san zusto - via san zusto|17|galižana
ulica sant' isepo - via sant' isepo|29|galižana
ulica giovanni petris - via giovanni petris|29|galižana
ulica lumel - via lumel|24|galižana
ulica toro - via toro|26|galižana
ulica oltra 'l torcio - via oltra 'l torcio|5|galižana
ulica michele della vedova - via michele della vedova|36|galižana
ulica michele della vedova - via michele della vedova|54|galižana
ulica antonio pianella - via antonio pianella|12|galižana
ulica oltra 'l torcio - via oltra 'l torcio|3|galižana
ulica michele della vedova - via michele della vedova|35|galižana
ulica toro - via toro|11|galižana
ulica monteci - via monteci|15a|galižana
ulica michele della vedova - via michele della vedova|53|galižana
ulica sant' isepo - via sant' isepo|22|galižana
ulica sant' isepo - via sant' isepo|34|galižana
ulica sigari - via sigari|8|galižana
ulica san zoane - via san zoane|2|galižana
ulica sant' isepo - via sant' isepo|43|galižana
ulica san zoane - via san zoane|6|galižana
ulica sigari - via sigari|22|galižana
ulica toro - via toro|43|galižana
ulica michele della vedova - via michele della vedova|62|galižana
ulica sigari - via sigari|29|galižana
fažanska ulica - via fasana|60|galižana
vodnjanska cesta - via dignano|104|fažana
ulica giuseppe leonardelli - via giuseppe leonardelli|6|galižana
vodnjanska cesta - via dignano|230|fažana
ulica monteci - via monteci|1a|galižana
galižanska cesta - via gallesano|216|fažana
fažanska ulica - via fasana|24b|galižana
vodnjanska cesta - via dignano|131c|fažana
vodnjanska cesta - via dignano|144b|fažana
ulica lumel - via lumel|44|galižana
galižanska cesta - via gallesano|201k|fažana
puljska cesta - via pola|4a|galižana
puljska cesta - via pola|67|galižana
piazza grande|8|fažana
puljska cesta - via pola|19b|galižana
ulica vladimir nazor - via vladimir nazor|7b|fažana
galižanska cesta - via gallesano|36f|fažana
puljska cesta - via pola|53c|galižana
galižanska cesta - via gallesano|207|fažana
galižanska cesta - via gallesano|203e|fažana
ulica sigari - via sigari|5d|galižana
fažanska ulica - via fasana|8|galižana
ulica veli vrh - via monte grande|120|galižana
galižanska cesta - via gallesano|70d|fažana
ulica sigari - via sigari|34b|galižana
ulica monteci - via monteci|1d|galižana
galižanska cesta - via gallesano|43|fažana
ulica sigari - via sigari|6a|galižana
ulica matija vlačić-flacius - via matija vlačić-flacius|6a|fažana
vodnjanska cesta - via dignano|147a|fažana
galižanska cesta - via gallesano|212c|fažana
galižanska cesta - via gallesano|212e|fažana
ulica sigari - via sigari|1d|galižana
vodnjanska cesta - via dignano|144a|fažana
puljska cesta - via pola|7a|fažana
ulica vladimir nazor - via vladimir nazor|7a|fažana
galižanska cesta - via gallesano|9|fažana
galižanska cesta - via gallesano|11|fažana
ulica pino budicin - via pino budicin|16|fažana
puljska cesta - via pola|9|fažana
ulica matija vlačić-flacius - via matija vlačić-flacius|21|fažana
ulica monteci - via monteci|3a|galižana
ulica matija vlačić-flacius - via matija vlačić-flacius|10|fažana
vodnjanska cesta - via dignano|148|fažana
galižanska cesta - via gallesano|209|fažana
ulica sv. silvestar - via san silvestro|4|galižana
ulica michele della vedova - via michele della vedova|55|galižana
ulica sigari - via sigari|9|galižana
ulica sigari - via sigari|9a|galižana
galižanska cesta - via gallesano|213a|fažana
ulica vladimir gortan - via vladimir gortan|2|fažana
ulica vladimir gortan - via vladimir gortan|4|fažana
ulica vladimir gortan - via vladimir gortan|6|fažana
